Title,Link,ArticleType,Abstract,SupplementaryDatasets
Metabolic adaptability in metastatic breast cancer by AKR1B10-dependent balancing of glycolysis and fatty acid oxidation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667,Article,"The different stages of the metastatic cascade present distinct metabolic challenges to tumour cells and an altered tumour metabolism associated with successful metastatic colonisation provides a therapeutic vulnerability in disseminated disease. We identify the aldo-keto reductase AKR1B10 as a metastasis enhancer that has little impact on primary tumour growth or dissemination but promotes effective tumour growth in secondary sites and, in human disease, is associated with an increased risk of distant metastatic relapse. AKR1B10","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM3_ESM.pdf"
Chemotherapy induces ACE2 expression in breast cancer via the ROS-AKT-HIF-1α signaling pathway: a potential prognostic marker for breast cancer patients receiving chemotherapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712,Research,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9636712/bin/12967_2022_3716_MOESM2_ESM.tif"
"Increased expression of glutamine transporter SNAT2/SLC38A2 promotes glutamine dependence and oxidative stress resistance, and is associated with worse prognosis in triple-negative breast cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531,Article,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852531/bin/41416_2020_1113_MOESM1_ESM.pdf
Unconventional protein post-translational modifications: the helmsmen in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842,Review,"Breast cancer is the most prevalent malignant tumor and a leading cause of mortality among females worldwide. The tumorigenesis and progression of breast cancer involve complex pathophysiological processes, which may be mediated by post-translational modifications (PTMs) of proteins, stimulated by various genes and signaling pathways. Studies into PTMs have long been dominated by the investigation of protein phosphorylation and histone epigenetic modifications. However, with great advances in proteomic techniques, several other PTMs, such as acetylation, glycosylation, sumoylation, methylation, ubiquitination, citrullination, and palmitoylation have been confirmed in breast cancer. Nevertheless, the mechanisms, effects, and inhibitors of these unconventional PTMs (particularly, the non-histone modifications other than phosphorylation) received comparatively little attention. Therefore, in this review, we illustrate the functions of these PTMs and highlight their impact on the oncogenesis and progression of breast cancer. Identification of novel potential therapeutic drugs targeting PTMs and development of biological markers for the detection of breast cancer would be significantly valuable for the efficient selection of therapeutic regimens and prediction of disease prognosis in patients with breast cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8881842/bin/13578_2022_756_MOESM1_ESM.docx
STAT1 potentiates oxidative stress revealing a targetable vulnerability that increases phenformin efficacy in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605,Article,"Bioenergetic perturbations driving neoplastic growth increase the production of reactive oxygen species (ROS), requiring a compensatory increase in ROS scavengers to limit oxidative stress. Intervention strategies that simultaneously induce energetic and oxidative stress therefore have therapeutic potential. Phenformin is a mitochondrial complex I inhibitor that induces bioenergetic stress. We now demonstrate that inflammatory mediators, including IFNγ and polyIC, potentiate the cytotoxicity of phenformin by inducing a parallel increase in oxidative stress through STAT1-dependent mechanisms. Indeed, STAT1 signaling downregulates NQO1, a key ROS scavenger, in many breast cancer models. Moreover, genetic ablation or pharmacological inhibition of NQO1 using β-lapachone (an NQO1 bioactivatable drug) increases oxidative stress to selectively sensitize breast cancer models, including patient derived xenografts of HER2+ and triple negative disease, to the tumoricidal effects of phenformin. We provide evidence that therapies targeting ROS scavengers increase the anti-neoplastic efficacy of mitochondrial complex I inhibitors in breast cancer.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM6_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8175605/bin/41467_2021_23396_MOESM7_ESM.pdf"
The sirtuin family in health and disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940,Review Article,"Sirtuins (SIRTs) are nicotine adenine dinucleotide(+)-dependent histone deacetylases regulating critical signaling pathways in prokaryotes and eukaryotes, and are involved in numerous biological processes. Currently, seven mammalian homologs of yeast Sir2 named SIRT1 to SIRT7 have been identified. Increasing evidence has suggested the vital roles of seven members of the SIRT family in health and disease conditions. Notably, this protein family plays a variety of important roles in cellular biology such as inflammation, metabolism, oxidative stress, and apoptosis, etc., thus, it is considered a potential therapeutic target for different kinds of pathologies including cancer, cardiovascular disease, respiratory disease, and other conditions. Moreover, identification of SIRT modulators and exploring the functions of these different modulators have prompted increased efforts to discover new small molecules, which can modify SIRT activity. Furthermore, several randomized controlled trials have indicated that different interventions might affect the expression of SIRT protein in human samples, and supplementation of SIRT modulators might have diverse impact on physiological function in different participants. In this review, we introduce the history and structure of the SIRT protein family, discuss the molecular mechanisms and biological functions of seven members of the SIRT protein family, elaborate on the regulatory roles of SIRTs in human disease, summarize SIRT inhibitors and activators, and review related clinical studies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797940/bin/41392_2022_1257_MOESM1_ESM.docx
Genome-wide association study of germline variants and breast cancer-specific mortality,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853,Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM2_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM3_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM4_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM5_ESM.xlsx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM6_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461853/bin/41416_2019_393_MOESM7_ESM.txt"
Associations between dietary patterns and the risk of breast cancer: a systematic review and meta-analysis of observational studies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM1_ESM.doc, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM2_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM3_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM4_ESM.jpg, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352362/bin/13058_2019_1096_MOESM5_ESM.jpg"
A tumour suppressive relationship between mineralocorticoid and retinoic acid receptors activates a transcriptional program consistent with a reverse Warburg effect in breast cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839,Research Article,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM3_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM4_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7641839/bin/13058_2020_1355_MOESM5_ESM.docx"
A SNAI2-PEAK1-INHBA stromal axis drives progression and lapatinib resistance in HER2-positive breast cancer by supporting subpopulations of tumor cells positive for antiapoptotic and stress signaling markers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636,Article,"Intercellular mechanisms by which the stromal microenvironment contributes to solid tumor progression and targeted therapy resistance remain poorly understood, presenting significant clinical hurdles. PEAK1 (Pseudopodium-Enriched Atypical Kinase One) is an actin cytoskeleton- and focal adhesion-associated pseudokinase that promotes cell state plasticity and cancer metastasis by mediating growth factor-integrin signaling crosstalk. Here, we determined that stromal PEAK1 expression predicts poor outcomes in HER2-positive breast cancers high in SNAI2 expression and enriched for MSC content. Specifically, we identified that the fibroblastic stroma in HER2-positive breast cancer patient tissue stains positive for both nuclear SNAI2 and cytoplasmic PEAK1. Furthermore, mesenchymal stem cells (MSCs) and cancer-associated fibroblasts (CAFs) express high PEAK1 protein levels and potentiate tumorigenesis, lapatinib resistance and metastasis of HER2-positive breast cancer cells in a PEAK1-dependent manner. Analysis of PEAK1-dependent secreted factors from MSCs revealed INHBA/activin-A as a necessary factor in the conditioned media of PEAK1-expressing MSCs that promotes lapatinib resistance. Single-cell CycIF analysis of MSC-breast cancer cell co-cultures identified enrichment of p-Akt","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636/bin/41388_2021_1906_MOESM1_ESM.docx, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8376636/bin/41388_2021_1906_MOESM2_ESM.pdf"
