Title,Link,ArticleType,Abstract,SupplementaryDatasets
Oxidative Stress in Breast Cancer: A Biochemical Map of Reactive Oxygen Species Production,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11120394,Review,"This review systematizes information about the metabolic features of breast cancer directly related to oxidative stress. It has been shown those redox changes occur at all levels and affect many regulatory systems in the human body. The features of the biochemical processes occurring in breast cancer are described, ranging from nonspecific, at first glance, and strictly biochemical to hormone-induced reactions, genetic and epigenetic regulation, which allows for a broader and deeper understanding of the principles of oncogenesis, as well as maintaining the viability of cancer cells in the mammary gland. Specific pathways of the activation of oxidative stress have been studied as a response to the overproduction of stress hormones and estrogens, and specific ways to reduce its negative impact have been described. The diversity of participants that trigger redox reactions from different sides is considered more fully: glycolytic activity in breast cancer, and the nature of consumption of amino acids and metals. The role of metals in oxidative stress is discussed in detail. They can act as both co-factors and direct participants in oxidative stress, since they are either a trigger mechanism for lipid peroxidation or capable of activating signaling pathways that affect tumorigenesis. Special attention has been paid to the genetic and epigenetic regulation of breast tumors. A complex cascade of mechanisms of epigenetic regulation is explained, which made it possible to reconsider the existing opinion about the triggers and pathways for launching the oncological process, the survival of cancer cells and their ability to localize.",
Targeting Breast Cancer Stem Cells Using Naturally Occurring Phytoestrogens,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224163,Review,"Breast cancer therapies have made significant strides in improving survival for patients over the past decades. However, recurrence and drug resistance continue to challenge long-term recurrence-free and overall survival rates. Mounting evidence supports the cancer stem cell model in which the existence of a small population of breast cancer stem cells (BCSCs) within the tumor enables these cells to evade conventional therapies and repopulate the tumor, giving rise to more aggressive, recurrent tumors. Thus, successful breast cancer therapy would need to target these BCSCs, as well the tumor bulk cells. Since the Women’s Health Initiative study reported an increased risk of breast cancer with the use of conventional hormone replacement therapy in postmenopausal women, many have turned their attention to phytoestrogens as a natural alternative. Phytoestrogens are plant compounds that share structural similarities with human estrogens and can bind to the estrogen receptors to alter the endocrine responses. Recent studies have found that phytoestrogens can also target BCSCs and have the potential to complement conventional therapy eradicating BCSCs. This review summarized the latest findings of different phytoestrogens and their effect on BCSCs, along with their mechanisms of action, including selective estrogen receptor binding and inhibition of molecular pathways used by BCSCs. The latest results of phytoestrogens in clinical trials are also discussed to further evaluate the use of phytoestrogen in the treatment and prevention of breast cancer.",
The Role of Biomarkers of Oxidative Stress in Breast Cancer Risk and Prognosis: A Systematic Review of the Epidemiologic Literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5446608,Original Articles,,
Halophilic Carotenoids and Breast Cancer: From Salt Marshes to Biomedicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8625793,Review,"Breast cancer is the leading cause of death among women worldwide. Over the years, oxidative stress has been linked to the onset and progression of cancer. In addition to the classical histological classification, breast carcinomas are classified into phenotypes according to hormone receptors (estrogen receptor—RE—/progesterone receptor—PR) and growth factor receptor (human epidermal growth factor receptor—HER2) expression. Luminal tumors (ER/PR-positive/HER2-negative) are present in older patients with a better outcome. However, patients with HER2-positive or triple-negative breast cancer (TNBC) (ER/PR/HER2-negative) subtypes still represent highly aggressive behavior, metastasis, poor prognosis, and drug resistance. Therefore, new alternative therapies have become an urgent clinical need. In recent years, anticancer agents based on natural products have been receiving huge interest. In particular, carotenoids are natural compounds present in fruits and vegetables, but algae, bacteria, and archaea also produce them. The antioxidant properties of carotenoids have been studied during the last years due to their potential in preventing and treating multiple diseases, including cancer. Although the effect of carotenoids on breast cancer during in vitro and in vivo studies is promising, clinical trials are still inconclusive. The haloarchaeal carotenoid bacterioruberin holds great promise to the future of biomedicine due to its particular structure, and antioxidant activity. However, much work remains to be performed to draw firm conclusions. This review summarizes the current knowledge on pre-clinical and clinical analysis on the use of carotenoids as chemopreventive and chemotherapeutic agents in breast cancer, highlighting the most recent results regarding the use of bacterioruberin from haloarchaea.",
A Novel Systematic Oxidative Stress Score Predicts the Prognosis of Patients with Operable Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8516560,Research Article,,
STAT family of transcription factors in breast cancer: Pathogenesis and therapeutic opportunities and challenges,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9714692,Article,"Breast cancer is the most commonly diagnosed cancer and second-leading cause of cancer deaths in women. Breast cancer stem cells (BCSCs) promote metastasis and therapeutic resistance contributing to tumor relapse. Through activating genes important for BCSCs, transcription factors contribute to breast cancer metastasis and therapeutic resistance, including the signal transducer and activator of transcription (STAT) family of transcription factors. The STAT family consists of six major isoforms, STAT1, STAT2, STAT3, STAT4, STAT5, and STAT6. Canonical STAT signaling is activated by the binding of an extracellular ligand to a cell-surface receptor followed by STAT phosphorylation, leading to STAT nuclear translocation and transactivation of target genes. It is important to note that STAT transcription factors exhibit diverse effects in breast cancer; some are either pro- or anti-tumorigenic while others maintain dual, context-dependent roles. Among the STAT transcription factors, STAT3 is the most widely studied STAT protein in breast cancer for its critical roles in promoting BCSCs, breast cancer cell proliferation, invasion, angiogenesis, metastasis, and immune evasion. Consequently, there have been substantial efforts in developing cancer therapeutics to target breast cancer with dysregulated STAT3 signaling. In this comprehensive review, we will summarize the diverse roles that each STAT family member plays in breast cancer pathobiology, as well as, the opportunities and challenges in pharmacologically targeting STAT proteins and their upstream activators in the context of breast cancer treatment.",
Breast Cancer Survivorship: A Comprehensive Review of Long-Term Medical Issues and Lifestyle Recommendations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4403581,Original Research & Contributions,"As breast cancer becomes a chronic condition rather than a life-threatening illness, survivors not only have the challenge of dealing with multiple long-term side effects of treatment protocols, but may also be forced to address the preexisting comorbidities of their therapies, which often include multiple other issues. It is imperative that the information available regarding survivorship issues be accessible in an organized and useful format. This article is a modest attempt to provide a comprehensive review of the long-term medical issues.",
Metformin and Breast Cancer: Where Are We Now?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8910543,Review,"Breast cancer is the most prevalent cancer and the leading cause of cancer-related death among women worldwide. Type 2 diabetes–associated metabolic traits such as hyperglycemia, hyperinsulinemia, inflammation, oxidative stress, and obesity are well-known risk factors for breast cancer. The insulin sensitizer metformin, one of the most prescribed oral antidiabetic drugs, has been suggested to function as an antitumoral agent, based on epidemiological and retrospective clinical data as well as preclinical studies showing an antiproliferative effect in cultured breast cancer cells and animal models. These benefits provided a strong rationale to study the effects of metformin in routine clinical care of breast cancer patients. However, the initial enthusiasm was tempered after disappointing results in randomized controlled trials, particularly in the metastatic setting. Here, we revisit the current state of the art of metformin mechanisms of action, critically review past and current metformin-based clinical trials, and briefly discuss future perspectives on how to incorporate metformin into the oncologist’s armamentarium for the prevention and treatment of breast cancer.",
State of the evidence 2017: an update on the connection between breast cancer and the environment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5581466,Review,,
Metabolic adaptability in metastatic breast cancer by AKR1B10-dependent balancing of glycolysis and fatty acid oxidation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667,Article,"The different stages of the metastatic cascade present distinct metabolic challenges to tumour cells and an altered tumour metabolism associated with successful metastatic colonisation provides a therapeutic vulnerability in disseminated disease. We identify the aldo-keto reductase AKR1B10 as a metastasis enhancer that has little impact on primary tumour growth or dissemination but promotes effective tumour growth in secondary sites and, in human disease, is associated with an increased risk of distant metastatic relapse. AKR1B10","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM1_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM2_ESM.pdf, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586667/bin/41467_2019_10592_MOESM3_ESM.pdf"
