Title,Authors,PublicationType,URL,KeyFindings,Abstract
"Breast Cancer: Risk Assessment, Screening, and Primary Prevention.","Michaels, Worthington, Rusiecki","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/36759097/,"This review provides an outline of a risk-based approach to breast cancer screening and prevention. All women should be assessed for breast cancer risk starting at age 18. Patients can then be stratified into average, moderate, and high-risk groups. Counseling on breast awareness and lifestyle changes is recommended for all women.","This review provides an outline of a risk-based approach to breast cancer screening and prevention. All women should be assessed for breast cancer risk starting at age 18 with identification of modifiable and non-modifiable risk factors. Patients can then be stratified into average, moderate, and high-risk groups with personalized screening and prevention plans. Counseling on breast awareness and lifestyle changes is recommended for all women, regardless of risk category. High-risk individuals may benefit from additional screening modalities such as MRI and chemoprevention and should be managed closely by a multidisciplinary team."
Breastfeeding and Reduced Risk of Breast Cancer: A Systematic Review and Meta-Analysis.,"Qiu, Zhong, Hu, Wu","Journal Article, Meta-Analysis, Systematic Review, Retracted Publication",https://pubmed.ncbi.nlm.nih.gov/35126640/,"meta-analysis was carried out on the basis of published literature from clinical trials and studies among different parts of the world. Menarche age, family history, lactation duration, and menopausal status have a strong effect on the risks of breast cancer.","Evidences which prove relation between breastfeeding women and risk of breast cancer have been limited. A meta-analysis was carried out on the basis of published literature from clinical trials and studies among different parts of the world. Studies were analyzed and extracted using PRISMA flowchart. RevMan 5.4.1 was used for analyzing the extracted data. Included studies were fully cited texts with complete information about studies, trails conducted for risk of breast cancer, and breastfeeding correlations. Menarche age, family history, lactation duration, and menopausal status have a strong effect on the risks of breast cancer. Family history studies concluded that for 95% CI, the risk ratio was 2.66 (2.00, 3.52). Findings have suggested that family history and lactation duration affect the risks of breast cancer."
Impact of Soy Foods on the Development of Breast Cancer and the Prognosis of Breast Cancer Patients.,Messina,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/27161216/,The relationship between soy food intake and breast cancer has been rigorously investigated for more than 25 years. Observational studies show that among Asian women higher soy consumption is associated with an approximate 30% reduction in risk of developing breast cancer.,"The relationship between soy food intake and breast cancer has been rigorously investigated for more than 25 years. The identification of isoflavones as possible chemopreventive agents helped fuel this line of investigation. These diphenolic compounds, which are found in uniquely-rich amounts in soy beans, possess both estrogen-dependent and -independent properties that potentially inhibit the development of breast cancer. Observational studies show that among Asian women higher soy consumption is associated with an approximate 30% reduction in risk of developing breast cancer. However, evidence suggests that for soy to reduce breast cancer risk consumption must occur early in life, that is during childhood and/or adolescence. Despite the interest in the role of soy in reducing breast cancer risk concerns have arisen that soy foods, because they contain isoflavones, may increase the likelihood of high-risk women developing breast cancer and worsen the prognosis of breast cancer patients. However, extensive clinical and epidemiologic data show these concerns to be unfounded. Clinical trials consistently show that isoflavone intake does not adversely affect markers of breast cancer risk, including mammographic density and cell proliferation. Furthermore, prospective epidemiologic studies involving over 11,000 women from the USA and China show that postdiagnosis soy intake statistically significantly reduces recurrence and improves survival."
Breast cancer risk accumulation starts early: prevention must also.,"Colditz, Bohlke, Berkey","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/24820413/,Nearly one in four breast cancers is diagnosed before the age of 50. Breast tissue undergoes rapid cellular proliferation between menarche and first full-term pregnancy. Risk accumulates rapidly until the terminal differentiation that accompanies first pregnancy.,"Nearly one in four breast cancers is diagnosed before the age of 50, and many early-stage premalignant lesions are present but not yet diagnosed. Therefore, we review evidence to support the strategy that breast cancer prevention efforts must begin early in life. This study follows the literature review methods and format. Exposures during childhood and adolescence affect a woman's long-term risk of breast cancer, but have received far less research attention than exposures that occur later in life. Breast tissue undergoes rapid cellular proliferation between menarche and first full-term pregnancy, and risk accumulates rapidly until the terminal differentiation that accompanies first pregnancy. Evidence on childhood diet and growth in height, and adolescent alcohol intake, among other adolescent factors is related to breast cancer risk and risk of premalignant proliferative benign lesions. Breast cancer prevention efforts will have the greatest effect when initiated at an early age and continued over a lifetime. Gaps in knowledge are identified and deserve increase attention to inform prevention."
Executive Summary of the Early-Onset Breast Cancer Evidence Review Conference.,"Chelmow, Pearlman, Young, Bozzuto, Dayaratna, Jeudy, Kremer, Scott, O'Hara","Journal Article, Research Support, U.S. Gov't, P.H.S., Review",https://pubmed.ncbi.nlm.nih.gov/32459439/,"The Centers for Disease Control and Prevention launched the Bring Your Brave campaign to increase knowledge about early-onset breast cancer. This article summarizes the relevant literature, existing guidance, and validated tools to guide health care providers in the prevention, early detection, and special considerations.","The Centers for Disease Control and Prevention launched the Bring Your Brave campaign to increase knowledge about early-onset breast cancer, defined as breast cancer in women aged 18-45 years. The American College of Obstetricians and Gynecologists convened a panel of experts in breast disease from the Society for Academic Specialists in General Obstetrics and Gynecology to review relevant literature, validated tools, best practices, and practice guidelines as a first step toward developing educational materials for women's health care providers about early-onset breast cancer. Panel members conducted structured literature reviews, which were then reviewed by other panel members and discussed at an in-person meeting of stakeholder professional and patient advocacy organizations in April 2019. This article summarizes the relevant literature, existing guidance, and validated tools to guide health care providers in the prevention, early detection, and special considerations of early-onset breast cancer. Substantive knowledge gaps were noted and summarized to provide guidance for future research."
Association between diet during preadolescence and adolescence and risk for breast cancer during adulthood.,Mahabir,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/23298994/,"Only a few epidemiologic studies have been conducted on the relationship between diet during preadolescence and adolescence, and cancer during adulthood. Research on preadolescent and adolescent diet is a paradigm shift in breast cancer investigations. This research paradigm has the potential to produce transformative knowledge.","It is increasingly evident that diet during preadolescence and adolescence has important consequences for breast cancer during adulthood. However, only a few epidemiologic studies have been conducted on the relationship between diet during preadolescence and adolescence, and cancer during adulthood. This situation is partly because of methodological challenges such as the long latency period, the complexity of breast cancer, the lack of validated diet assessment tools, and the large number of subjects that must be followed, all of which increase costs. In addition, funding opportunities are few for such studies. Results from the small number of epidemiologic studies are inconsistent, but evidence is emerging that specific aspects of the diet during preadolescence and adolescence are important. For example, during preadolescence and adolescence, severe calorie restriction with poor food quality, high total fat intake, and alcohol intake tend to increase risk, whereas high soy intake decreases risk. Research on preadolescent and adolescent diet is a paradigm shift in breast cancer investigations. This research paradigm has the potential to produce transformative knowledge to inform breast cancer prevention strategies through dietary intervention during preadolescence and adolescence, rather than later in life, as is current practice, when it is perhaps less effective. Methodological challenges that have plagued the field might now be overcome by leveraging several existing large-scale cohort studies in the U.S. and around the world to investigate the role of diet during preadolescence and adolescence in risk for adult breast cancer."
"Physical activity and breast cancer risk: impact of timing, type and dose of activity and population subgroup effects.","Friedenreich, Cust","Journal Article, Research Support, Non-U.S. Gov't, Review",https://pubmed.ncbi.nlm.nih.gov/18487249/,"A review of all published literature to September 2007 was conducted using online databases. Evidence for a risk reduction associated with increased physical activity was found in 47 (76%) of 62 studies. Stronger decreases in risk were observed for recreational activity, lifetime or later life activity, vigorous activity, among postmenopausal women, women with normal BMI, non-white racial groups.","To review (1) the epidemiological literature on physical activity and the risk of breast cancer, examining the effect of the different parameters of activity and effect modification within different population subgroups; and (2) the biological mechanisms whereby physical activity may influence the risk of breast cancer. A review of all published literature to September 2007 was conducted using online databases; 34 case-control and 28 cohort studies were included. The impact of the different parameters of physical activity on the association between activity and the risk of breast cancer was examined by considering the type of activity performed, the timing of activity over the life course and the intensity of activity. Effect modification of this association by menopausal status, body mass index (BMI), racial group, family history of breast cancer, hormone receptor status, energy intake and parity were also considered. Evidence for a risk reduction associated with increased physical activity was found in 47 (76%) of 62 studies included in this review with an average risk decrease of 25-30%. A dose-response effect existed in 28 of 33 studies. Stronger decreases in risk were observed for recreational activity, lifetime or later life activity, vigorous activity, among postmenopausal women, women with normal BMI, non-white racial groups, those with hormone receptor negative tumours, women without a family history of breast cancer and parous women. The effect of physical activity on the risk of breast cancer is stronger in specific population subgroups and for certain parameters of activity that need to be further explored in future intervention trials."
Physical Activity in Young BRCA Carriers and Reduced Risk of Breast Cancer.,"Bucy, Valencia, Howe, Larkin, Conard, Anderlik, Valdivi, Bea","Systematic Review, Journal Article, Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/35738959/,"A systematic literature review was conducted to determine whether physical activity levels during adolescent and young adult years were associated with a reduced lifetime risk of breast cancer. Ovid/MEDLINE, Embase, CENTRAL, WOS, and CINAHL were searched for articles. A total of 1,957 unique articles were identified.","A systematic literature review was conducted to determine whether physical activity levels during adolescent and young adult years were associated with a reduced lifetime risk of breast cancer among carriers of deleterious mutations in BRCA1 and BRCA2 genes. Ovid/MEDLINE, Embase, CENTRAL, WOS, and CINAHL were searched for articles including information about adolescent and young adult physical activity and breast cancer incidence among women carrying deleterious BRCA1 and BRCA2 gene mutations (search was initiated in October 2019; last update and full analyses were in March 2021). Independent reviewers screened articles at the title/abstract and full-text levels, resolving differences by consensus with lead authors. The NIH Quality Assessment Tools were used to assess sources of bias. A total of 1,957 unique articles were identified; 5 met inclusion criteria. Samples size ranged from 68 to 1,185. All studies relied on self-reported adolescent and young adult physical activity. One study measured sports involvement; the others measured recreational activity. One large study was null, whereas 4 others showed a reduction in breast cancer incidence later in life with higher adolescent and young adult physical activity (pâ‰¤0.05). However, the protection was limited to premenopausal breast cancer in 1 of the studies (OR=0.62; 95% CI=0.40, 0.96; p-trend=0.01). In addition, adolescent and young adult physical activity was associated with older age at breast cancer diagnosis in 1 study (p=0.03). A limited number of studies suggest that adolescent and young adult physical activity may reduce or delay the risk of breast cancer incidence among carriers of deleterious mutations in BRCA1 and BRCA2 genes."
Modifiable Risk Factors for the Development of Breast Cancer in Young Women.,"Cathcart-Rake, Ruddy, Johnson","Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/30480572/,"Breast cancer is the most common malignancy among adolescents and young adults (AYAs) women aged 15 to 39 years at diagnosis. A literature review was conducted to report upon associations between modifiable lifestyle factors and breast cancer risk. Higher levels of physical activity, lower red meat intake, and higher intake of plants appear to decrease the risk of developing AYA breast cancer.","Breast cancer is the most common malignancy among adolescents and young adults (AYAs) women aged 15 to 39 years at diagnosis. An improved understanding of modifiable factors that mitigate the risks of the development of breast cancer may allow for future strategies to reduce the incidence of AYA breast cancer. A literature review was conducted to report upon associations between modifiable lifestyle factors and breast cancer risk. Higher levels of physical activity, lower red meat intake, and higher intake of plants appear to decrease the risk of developing AYA breast cancer, whereas associations between obesity and AYA breast cancer risk were less straightforward. Further research, ideally in large prospective trials, is needed to truly understand modifiable risk factors for the development of AYA breast cancer."
Breast cancer prevention: a review of current evidence.,Vogel,"Journal Article, Review",https://pubmed.ncbi.nlm.nih.gov/10901739/,The National Cancer Institute has created a breast cancer risk assessment tool. Women who are candidates for a preventive course of tamoxifen must be counseled. Prophylactic mastectomy offers at least a 90% reduction in the risk of breast cancer.,"The National Cancer Institute has created a breast cancer risk assessment tool that quickly estimates a woman's individualized absolute risk of developing breast cancer. Understanding the magnitude of risk is important because recent data show that breast cancer incidence may be reduced. All women may improve their overall health and thus perhaps minimize breast cancer risk by maintaining a healthy weight, avoiding cigarettes, limiting alcohol consumption, getting regular exercise, and avoiding non-diagnostic ionizing radiation. Nevertheless, no lifestyle modifications have yet been proven to prevent or definitively lower the risk of breast cancer. In addition, women whose personal breast cancer risk is high may consider reducing risk by pharmacologic or surgical means. In such women, a five-year course of tamoxifen reduced the risk of invasive breast cancer by 49%; women with lobular carcinoma in situ or atypical hyperplasia experienced even greater risk reductions. Because of the potential for vascular and endometrial side effects, women who are candidates for a preventive course of tamoxifen must be counseled regarding its relative risks and benefits. Prophylactic mastectomy offers at least a 90% reduction in the risk of breast cancer, but the physical and psychological changes involved in such a procedure make it a difficult choice for many women. Breast cancer risk assessment and appropriate counseling are becoming standard components of breast cancer screening and overall health maintenance."
